Food, Serving Size, Calories, Fat, Carbohydrates, Protein
Tosai (Indian Food) ,  1 tosai , 80 , 2g , 17g , 2.3g , 
Shev Dahi Batata Puri (Indian Food-) ,  4 balls , 379 , 9.5g , 64g , 12.2g , 
Curry (Indian Food) ,  100 G , 100 , 5.1g , 15g , 2.9g , 
Shimla Mirch Aloo (Indian Food) ,  100 G , 93 , 3.4g , 12.8g , 1.5g , 
Nasi Bryani (Rice Only) Singapore (Indian Food) ,  1 Plate , 458 , 14g , 0g , 0g , 
Vadi (Indian Food) ,  1 piece , 100 , 29.6g , 18.5g , 4.8g , 
Brown Rice With Lentils and Vegetables (Indian Food) ,  1 cup , 500 , 0g , 0g , 0g , 
Chicken Masala W/ Naan Wrap (Indian Food) ,  1 wrap , 195 , 8.1g , 30.5g , 20.4g , 
Aloo Baigan Cooked Vegitable (Indian Food) ,  1 cup cooked , 103 , 4.7g , 12.3g , 1.3g , 
Dosai (Indian Food) ,  1 medium , 80 , 2.5g , 30g , 12.8g , 
Vegetable Jhalfrezi (Indian Food) ,  1 c prepared , 200 , 0g , 0g , 0g , 
Lapsi (Sweet Bulgur) (Indian Food) ,  1/2 cup , 380 , 15g , 53g , 6g , 
Aloo Gobi Masala Internet  (Indian Food) ,  1 cup , 203.6 , 5.5g , 35.1g , 6.6g , 
Papadom (Indian Food) ,  3 pcs/10g , 20 , 0g , 0g , 0g , 
Sardine Paratel (Indian Food) ,  1 cup , 156 , 0g , 0g , 0g , 
Capati (Indian Food) ,  1 pcs/38g , 106.5 , 2.5g , 20g , 3g , 
Tomato Chicken (Indian Food) ,  1/2 cup , 134 , 5.4g , 6.9g , 14.7g , 
Abc (Indian Food) ,  1 cup/50g , 90 , 0g , 0g , 0g , 
Banana Leaf Rice (Indian Food) ,  1 set , 265 , 0g , 0g , 0g , 
Medu Vada (Indian Doughnut Shaped Snack Made From Black Lentils) (Indian Food) ,  2 pieces , 334 , 11g , 43g , 14g , 
Lamb Vindaloo (No Rice Fo Real) (Indian Food) ,  4 oz , 360 , 15g , 8g , 25g , 
Mulligatawny Soup (Indian Food) ,  1 cup , 100 , 2g , 12g , 0g , 
Vegetable Balti (Indian Food) ,  1 portion , 290 , 0g , 0g , 0g , 
Dhaba Murg (Chicken Onion Tomato Coriander Chilies) (Indian Food) ,  1 portion , 210 , 4g , 6g , 35g , 
Aloo Pat Gobi (Indian Food) ,  100 g , 75 , 0g , 0g , 0g , 
Chavali (Black-Eyed Beans) Usal (Indian Food) ,  1/2 cup cooked , 174 , 5.8g , 25.2g , 7.5g , 
Chicken Beryani Rice (Indian Food) ,  1 cup , 510.8 , 16.1g , 40.6g , 46.6g , 
Standard One Plate Buffet (Indian Food) ,  1 dinner plate , 1500 , 30g , 60g , 10g , 
Onion Pakoda (Indian Food) ,  1 cup cooked , 119 , 1.8g , 21.1g , 6.1g , 
Mutton / Lamb Biryani (Indian Food) ,  1 plate cooked , 250 , 11g , 5g , 24g , 
Mughlai Paratha (Indian Food) ,  1 stuffed bread , 175 , 11.5g , 6.5g , 11.2g , 
Buffet Plate - Extra Chicken (Indian Food) ,  1 plate , 400 , 10g , 20g , 20g , 
Sarevda-papdi (Indian Food) ,  30 g , 90 , 0g , 20g , 1.5g , 
Samosa - Meat and Veg (Indian Food) ,  1 Samosa (35 Grams) , 88 , 2g , 12.5g , 5g , 
Naan bread (Indian food) ,  100 g , 465 , 25g , 54g , 5g , 
Hing Spice (Indian Food) ,  1/4 tsp , 4 , 0g , 0g , 0g , 
Khichdi (Indian Food) ,  2 Plate , 103 , 0g , 0g , 0g , 
Indian Food (Indian food) ,  1 cup , 500 , 0g , 0g , 0g , 
Lamb Madras Curry (Indian Food) ,  1 cup , 270 , 14g , 13g , 23g , 
Channa Dal Masala (Indian Food) ,  1 cup , 290 , 3g , 55g , 11g , 
Chicken Makhani (Indian Food) ,  1 cup , 409 , 6g , 63g , 14g , 
Buffet Plate - Extra Chicken (Indian Food) ,  1 plate , 400 , 10g , 20g , 20g , 
Aloo Gobi (Indian Food) ,  1 Cup , 247 , 0g , 0g , 0g , 
Buffet (Indian food) ,  1 plate , 1000 , 0g , 0g , 0g , 
Standard One Plate Buffet (Indian Food) ,  1 dinner plate , 1500 , 30g , 60g , 10g , 
Mutton / Lamb Biryani (Indian Food) ,  1 plate cooked , 250 , 11g , 5g , 24g , 
Chole (Curried Chickpeas) (Indian Food) ,  1 Cup , 202 , 7.6g , 25.4g , 7.7g , 
Samosa - Meat and Veg (Indian Food) ,  1 Samosa (35 Grams) , 88 , 2g , 12.5g , 5g , 
Lamb Madras Curry (Indian Food) ,  1 cup , 270 , 14g , 13g , 23g , 
Channa Dal Masala (Indian Food) ,  1 cup , 290 , 3g , 55g , 11g , 
Chicken Makhani (Indian Food) ,  1 cup , 409 , 6g , 63g , 14g , 
Aloo Gobi (Indian Food) ,  1 Cup , 247 , 0g , 0g , 0g , 
Buffet Plate - Extra Chicken (Indian Food) ,  1 plate , 400 , 10g , 20g , 20g , 
Mutton / Lamb Biryani (Indian Food) ,  1 plate cooked , 250 , 11g , 5g , 24g , 
Samosa - Meat and Veg (Indian Food) ,  1 Samosa (35 Grams) , 88 , 2g , 12.5g , 5g , 
Chole (Curried Chickpeas) (Indian Food) ,  1 Cup , 202 , 7.6g , 25.4g , 7.7g , 
Standard One Plate Buffet (Indian Food) ,  1 dinner plate , 1500 , 30g , 60g , 10g , 
Buffet (Indian food) ,  1 each , 1000 , 0g , 0g , 0g , 
Buffet (Indian food) ,  1 each , 1000 , 0g , 0g , 0g , 
2 Chapati and Green Sabji (Indian Food) ,  2 cooked , 70 , 5g , 5.8g , 0g , 
Puri (Indian Food) ,  1 piece , 112 , 5g , 16g , 3g , 
Chicken Makhani (Indian Food) ,  6 oz , 350 , 25g , 6g , 25g , 
Chicken Saag (Indian Food) ,  1 cup , 290 , 10g , 35g , 19g , 
Cooked Chickpeas (Indian Food) ,  350 g , 462 , 9g , 82g , 13g , 
Aloo Paratha (Indian Food) ,  1 (216G) , 390 , 7.9g , 65g , 9.6g , 
Moong Dal (Yellow Split Lentils) (Indian Food) ,  100 gm , 358 , 1.2g , 59.9g , 24.5g , 
Lamb Madras Curry (Indian Food) ,  1 cup , 270 , 14g , 13g , 23g , 
Aloo Mutter Paneer - Diced Potato Cottage Cheese and Pea Curry (Indian Food) ,  100 G , 106 , 4.8g , 13.3g , 2.5g , 
Chicken Briani (Indian Food) ,  365 gm , 520 , 12g , 81g , 23g , 
Aloo Baigan (Indian Food) ,  1 (271g) , 191 , 9.9g , 24.6g , 3.8g , 
Channa Dal Masala (Indian Food) ,  1 cup , 290 , 3g , 55g , 11g , 
Aloo Gobi (Indian Food) ,  1 Cup , 247 , 0g , 0g , 0g , 
Vegetable Biryani (Indian Food) ,  1 Cup , 290 , 0g , 0g , 0g , 
Mooli Paratha (Indian Food) ,  1 (83G) , 180 , 6g , 30g , 5g , 
Chole (Curried Chickpeas) (Indian Food) ,  1 Cup , 202 , 7.6g , 25.4g , 7.7g , 
