Movie Title, On Screen Kills,
Above_the_Law,18,
Action_Jackson,17,
Adventures_of_Ford_Fairlane,7,
Aeon_Flux,58,
Akira,119,
Ali_G_Indahouse,11,
Alien,9,
Aliens_vs_Predator_R,115,
Alpha_Dog,3,
Altered_States,5,
American_Gangster,15,
American_Ninja,114,
American_Pop,61,
American_Psycho,18,
American_Yakuza,53,
Another_Day_In_Paradise,9,
Apocalypse_Now,62,
Apocalypto,114,
Appaloosa,10,
Armageddon,16,
Army_of_Darkness,107,
Assault_On_Precinct_13_%281976%29,39,
Assault_On_Precinct_13_%282005%29,21,
Atonement,34,
Austin_Powers_in_Goldmember,6,
Bangkok_Dangerous,38,
Bank_Job,4,
Barton_Fink,3,
Big_Hit,38,
Big_Trouble_In_Little_China,46,
Black_Dahlia,13,
Blade_Runner,5,
BloodRayne,102,
Blood_Diamond,187,
Boondock_Saints,33,
Bourne_Identity,8,
Bourne_Supremacy,9,
Braveheart,184,
Brazil,25,
Bridge_of_Dragons,109,
Broken_Arrow,25,
Brotherhood_of_the_Wolf,40,
Buffalo_Soldiers,16,
Bullet_In_The_Head,214,
Bulletproof_Monk,37,
Cabin_Fever,19,
Casino,25,
Charlie_Wilsons_War,22,
Charlie%27s_Angels_Full_Throttle,39,
Children_of_Men,77,
Christine,6,
Chronicles_of_Riddick,187,
Circus_2000,8,
Class_of_1999,43,
Clear_and_Present_Danger,41,
Clockwork_Orange,7,
Cloverfield,27,
Collateral,17,
Confessions_Of_A_Dangerous,50,
Commando,88,
Con_Air,30,
Conspiracy_Theory,7,
Constant_Gardener,18,
Constantine,7,
Count_of_Monte_Cristo,5,
Cradle_2_The_Grave,13,
Crank,1,
Creepshow,15,
Crime_Spree,20,
Crouching_Tiger,_Hidden_Dragon,14
Crow,35,
Dark_Blue,8,
Day_of_the_Dead,40,
Dawn_of_the_Dead,175,
Dawn_of_the_Dead_04,131,
Death_Sentence,15,
Death_to_Smoochy,3,
Delta_Force2,92,
Demolition_Man,25,
Desperado,80,
Devils_Rejects,30,
Die_Hard,20,
Die_Hard_2,37,
Die_Hard_with_a_Vengeance,26,
District_B13,34,
Disturbia,10,
Domino,51,
Donnie_Darko,3,
Dracula_2000,18,
Dune,186,
Equilibrium,236,
Eraser,52,
Escape_From_New_York,28,
Evil_Dead_II,8,
Exit_Wounds,38,
Face_Off,56,
Fair_Game,21,
FF_Silver_Surfer,6,
Fear_and_Loathing_in_Las_Vegas,10,
Fearless_Jet_Li,5,
Fifth_Element,80,
Fight_Club,14,
Firewall,5,
Fistful_of_Dollars,109,
Flags_of_Our_Fathers,93,
Fools_Gold,3,
For_a_Few_Dollars_More,42,
Formula_51,22,
Four_Brothers,16,
French_Connection,12,
Friday_the_13th_%282009%29,14,
From_Dusk_Till_Dawn,122,
Fugitive,5,
Gangster_No_1,7,
Get_Carter,5,
Ghost_Rider,52,
Guardian,11,
Hard_Boiled,307,
Hamlet_1990,9,
Hannibal,15,
Hard_Boiled,307,
Hard_to_Kill,19,
HP_Goblet_of_Fire,3,
Heat,18,
Hellboy,42,
Hero,152,
History_of_Violence,13,
Hitman-1998,25,
Hitman,55,
Hollow_Point,17,
Hostage,16,
Hot_Fuzz,29,
Hot_Shots_Deux,114,
House_of_the_Dead,141,
House_on_Haunted_Hill_99,30,
Hunt_for_Red_October,7,
I-Am-Legend,71,
In_Bruges,5,
Incredible_Hulk_2008,41,
Incredibles,16,
Inside_Man,13,
International,18,
Invasion_USA,146,
Iron_Man,57,
Jack_Brooks_Monster_Slayer,15,
Jackie_Brown,4,
Jason_X,27,
Jumper,7,
Jurassic_Park_3,6,
K_19_The_Widowmaker,10,
Kelly%27s_Heroes,139,
Kingdom_of_Heaven,610,
King_Kong,23,
King_of_New_York,38,
Kiss_Kiss_Bang_Bang,15,
Kung_Fu_Hustle,20,
Ladykillers_2004,5,
Last_Action_Hero,45,
Last_Boy_Scout,26,
Last_House_on_the_Left,6,
Last_of_the_Mohicans,172,
Last_Samurai,558,
Layer_Cake,8,
Leon,33,
Letters_from_Iwo_Jima,84,
Lion_Witch_Wardrobe,86,
Lock_Stock_and_Two_Smoking_Barrels,16,
Lone_Wolf_and_Cub_White_Heaven_in_Hell,169,
Long_Kiss_Goodnight,68,
Lost_City,41,
Lucky_Number_Sleven,19,
Machine_Girl,25,
Magnificent_Seven,55,
Man_Apart,39,
Marked_for_Death,34,
Matrix,39,
Maverick,4,
Maximum_Risk,18,
McBain,181,
Mean_Machine,3,
Memento,4,
Minority_Report,4,
Missing_in_Action,100,
Mission_Impossible,9,
Mission_Impossible2,37,
Mission_Impossible_III,23,
Mist_The,46,
Mortal_Kombat,11,
Mr_&_Mrs_Smith,43,
Mummy,155,
Munich,49,
Musketeer,56,
My_Bloody_Valentine_3D,24,
New_World,28,
Nightmare_on_Elm_Street,4,
Number_23,10,
On_Deadly_Ground,25,
Once_a_Thief,59,
Once_Upon_A_Time_In_Mexico,99,
Operation_Delta_Force,120,
Out_For_Justice,20,
Out_of_Sight,9,
Outlaw_Josey_Wales,120,
Pans_Labyrinth,30,
Patriot_1998,42,
Patriot_Games,35,
Payback,18,
Pearl_Harbor,153,
Phantom_of_the_Opera,3,
Pirates_of_the_Caribbean,42,
PotC_Dead_Mans_Chest,90,
Plan_9,7,
Platoon_Leader,106,
Point_of_No_Return,35,
Predator,64,
Prince_of_Jutland,38,
Pulp,6,
Pulp_Fiction,10,
Push,24,
Rambo_2008,247,
Rambo_First_Blood,67,
Rambo_III,127,
Raw_Deal,38,
Red_Dawn,118,
Red_Planet,4,
Red_Scorpion,104,
Replacement_Killers,38,
Reservoir_Dogs,12,
Resident_Evil_Apocalypse,123,
Resident_Evil_Extinction,124,
Riders,6,
Ripleys_Game,11,
Ritana,91,
Road_House,7,
Robocop,34,
RocknRolla,11,
Romeo_is_Bleeding,15,
Ronin,34,
Rundown,46,
Running_Scared_2006,22,
Sahara,68,
Saving_Private_Ryan,255,
Scarface,44,
Scorpion_King,105,
Secret_of_NIMH,12,
Secret_Window,4,
Severance,28,
Shaft_2000,22,
Shaun_of_the_Dead,60,
Shawshank_Redemption,4,
Shoot_Em_Up,151,
Showdown_In_Little_Tokyo,48,
Signs,3,
Silence_of_the_Lambs,8,
Silent_Trigger,35,
Sin_City,53,
Sleepy_Hollow,25,
Slumdog_Millionaire,8,
Smokin_Aces,47,
Snakes_on_a_Plane,60,
Snatch,26,
Spartan,15,
Speed,7,
Stardust,22,
Star_Wars_I,34,
Star_Wars_II,55,
Star_Wars_III,115,
Star_Wars_New_Hope,75,
Star_Wars_Empire,30,
Star_Wars_VI_Jedi,69,
Starship_Troopers,256,
Stone_Cold,45,
Strange_Days,12,
Strange_Wilderness,15,
Summer_of_Sam,10,
Sunshine,1,
Super_Mario_Bros,8,
Superman_Returns,10,
Sweeney_Todd,12,
Swordfish,41,
Syriana,11,
Taken,35,
Tango_&_Cash,20,
Taxi_Driver,4,
Team_America,78,
Terminator2,2,
Terminator3,14,
There_Will_Be_Blood,4,
The_Thing,21,
Things_to_Do_in_Denver,15,
Third_Man,4,
Timeline,65,
Titanic,307,
To_Die_For,2,
Tombstone,55,
Total_Recall,77,
Transformers_the_Movie,47,
Transporter,8,
Transporter2,11,
Troy,572,
True_Lies,71,
True_Romance,21,
Unbreakable,4,
Under_Siege,65,
Under_Siege2,47,
Underworld,58,
Underworld_Evolution,75,
Universal_Soldier,47,
Usual_Suspects,39,
Waist_Deep,6,
Walk_Hard,5,
Walking_Tall_%282004%29,6,
War,97,
War_Inc,73,
Wasabi,22,
Way_of_the_Gun,18,
We_Were_Soldiers,305,
Where_Eagles_Dare,100,
Wild_Bunch,145,
xxx,75,
Yakuza,31,
You_Kill_Me,10,
Zodiac,3,
Zoolander,4,
Zulu,140,
